mode,step,ckpt_name,episode_idx,outcome,n_steps,cps_episode,reach,collision,oob,stuck,timeout,infeasible_step_frac,empty_step_frac,singular_step_frac,saturation_step_frac,min_window_displacement,mean_proj_mag,max_h,traj_path_len,angrate_at_reach,collision_cause,band_crossings,first_crossing_step
final,159912,ppo_rev12_114505,0,goal,81,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2429449558258057,0.0,-0.3664788007736206,7.206223487854004,0.2549200654029846,,0,-1
final,159912,ppo_rev12_114505,1,goal,140,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9144175052642822,0.0,0.14538925886154175,13.83769416809082,0.2701927721500397,,0,-1
final,159912,ppo_rev12_114505,2,goal,83,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588861465454102,0.0,-0.7023271322250366,8.526450157165527,0.28782299160957336,,0,-1
final,159912,ppo_rev12_114505,3,goal,160,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4466137886047363,0.0,0.1838727593421936,11.95042610168457,0.27645185589790344,,0,-1
final,159912,ppo_rev12_114505,4,goal,104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.171803951263428,0.0,-1.0,9.176017761230469,0.20466014742851257,,0,-1
final,159912,ppo_rev12_114505,5,goal,93,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539597988128662,0.0,-0.22903311252593994,9.504949569702148,0.2682720422744751,,0,-1
final,159912,ppo_rev12_114505,6,goal,79,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.671416759490967,0.0,-1.0,8.437692642211914,0.10825955122709274,,0,-1
final,159912,ppo_rev12_114505,7,goal,77,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.254625082015991,0.0,-0.28561973571777344,5.490008354187012,0.2636735737323761,,0,-1
final,159912,ppo_rev12_114505,8,goal,136,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9284029603004456,0.0,-1.0,10.024856567382812,0.26179039478302,,0,-1
final,159912,ppo_rev12_114505,9,goal,109,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.301581859588623,0.0,-1.0,10.189350128173828,0.2362358272075653,,0,-1
final,159912,ppo_rev12_114505,10,goal,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.8592557311058044,4.18049430847168,0.24237211048603058,,0,-1
final,159912,ppo_rev12_114505,11,goal,66,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8123650550842285,0.0,-1.0,6.1125617027282715,0.27273324131965637,,0,-1
final,159912,ppo_rev12_114505,12,goal,140,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9039971828460693,0.0,-1.0,13.700260162353516,0.18872442841529846,,0,-1
final,159912,ppo_rev12_114505,13,goal,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.138140678405762,0.0,-1.0,5.973244667053223,0.2602688670158386,,0,-1
final,159912,ppo_rev12_114505,14,goal,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18062162399292,0.0,-1.0,6.079952239990234,0.290431946516037,,0,-1
final,159912,ppo_rev12_114505,15,goal,75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33389139175415,0.0,-1.0,7.675379753112793,0.2899453341960907,,1,9
final,159912,ppo_rev12_114505,16,timeout,200,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.015,0.4203236699104309,0.0,0.658424973487854,11.600687026977539,nan,,0,-1
