epoch,train_pinball,val_pinball
0,0.6023417695002122,0.28400781750679016
1,0.24486631534316322,0.19427306950092316
2,0.19699886495416816,0.3390343189239502
3,0.21709171018817208,0.198396235704422
4,0.197712303833528,0.17296475172042847
5,0.18596431667154487,0.17706827819347382
6,0.17478460777889598,0.1532006710767746
7,0.17111920551820234,0.18619516491889954
8,0.16657485961914062,0.20322032272815704
9,0.16063849546692588,0.1455279439687729
10,0.1536949111656709,0.14203837513923645
11,0.13799206086180427,0.12398188561201096
12,0.12539562488144093,0.12907002866268158
13,0.12479767975482074,0.17333969473838806
14,0.11738917353478345,0.10950426012277603
15,0.10818277976729652,0.11238613724708557
16,0.10594506954604929,0.09912948310375214
17,0.1037065319039605,0.09694943577051163
18,0.10013235035267744,0.09687147289514542
19,0.10084532065825029,0.10613090544939041
20,0.10332747846841812,0.09495577216148376
21,0.09482882767915726,0.09421972930431366
22,0.09024028412320396,0.08883143216371536
23,0.09062891453504562,0.09142036736011505
24,0.09279767572879791,0.08769100159406662
25,0.09517407363111323,0.09079393744468689
26,0.10952514640309594,0.08739437162876129
27,0.10742071365768259,0.09698108583688736
28,0.10709235857833516,0.08167140930891037
29,0.10570037459785288,0.10847695171833038
30,0.09128409867936915,0.08757234364748001
31,0.08847947811538523,0.09285663813352585
32,0.08154956088824705,0.07558560371398926
33,0.08765491057525981,0.08193609863519669
34,0.08456560942259701,0.0745847076177597
35,0.08034602051431483,0.08605438470840454
36,0.07767181315205314,0.07132555544376373
37,0.07741326093673706,0.08238106966018677
38,0.07840266010978005,0.08853413909673691
39,0.10028190897269683,0.08036895096302032
40,0.08651450317014348,0.07308147847652435
41,0.0752591376954859,0.07944206148386002
42,0.07128273113207384,0.07699459046125412
43,0.07170906405557285,0.06773428618907928
44,0.08474006232890216,0.13499966263771057
45,0.07778137272054499,0.07022345811128616
46,0.07987745119766755,0.0737350806593895
47,0.07078201283108104,0.0729820653796196
48,0.07879021696069023,0.06722560524940491
49,0.07455715123902668,0.07124331593513489
50,0.068593672121113,0.07210320234298706
51,0.06435337947173551,0.06554675102233887
52,0.07465157461437312,0.08366424590349197
53,0.06771963347088207,0.06570357084274292
54,0.062236280197446994,0.05941370874643326
55,0.06389274211092429,0.08918413519859314
56,0.06631058298728683,0.06612838804721832
57,0.06156077682971954,0.06015137955546379
58,0.0710508715022694,0.07491908222436905
59,0.06710814806548032,0.06025417149066925
