step,wallclock_s,schedule_step,lambda_disc_active,gamma_disc_active,target_rhs_active,sigma,sigma_pi,rho_unsafe_v,rho_unsafe_pi,collect_proj_mag,collect_infeasible,L_R,L_V_total,value_target_unsafe_frac,rho_unsafe_label,label_mean,tail_push_mean,tail_exceed_frac,loss_pi_b,recovery_residual_norm,L_feas_raw,L_feas_weighted,gate_active_frac,gate_n_constructed,gate_n_kept,gate_doomed_frac,lg_norm_gate_mean,lg_norm_gate_p50,injected_fraction_actual,injected_target_mean,injected_target_unsafe_frac,L_sobolev_raw,L_sobolev_weighted,sob_grad_label_v_frac,sob_grad_label_v_mean,sob_dhdv_pred_mean,sob_v_spline_mean,sob_gate_mean,sob_gate_frac_active,sob_gate_dhdv_pred,L_in_task,L_anorm,L_smooth,L_satex,L_pretanh,L_out,L_pi_total,grad_norm_VS,grad_norm_pi,grad_leak_VS_from_Lpi,abs_action_mean,abs_action_max,satfrac_a_phi,L_rate_raw,L_rate_weighted,mean_abs_du,L_u_raw,L_u_weighted,L_deficit,mean_deficit_active,deficit_active_frac,deficit_clip_frac,mean_abs_deficit_feature,L_friction,proj_mag_bptt,probe_h_min,probe_h_max,probe_h_mean
200,46.24162220954895,200,1.0258658877510114,0.95,0.0,0.5481874999999999,0.0,0.1899999976158142,0.14999999105930328,0.3981809616088867,0.8849999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.84896850585938,2.6500244140625,0.019758880138397217,0.0,2.6299471855163574,-0.005741470493376255,184.67868041992188,0.0,1.3066461086273193,0.0,1.0715147256851196,2.0,0.0,1.222347617149353,0.0,0.4317590892314911,2.9962844848632812,0.0,0.0,0.0,0.0,0.0,0.0,0.06701988726854324,0.3815256357192993,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
400,89.86448287963867,400,1.0258658877510114,0.95,0.0,0.5239892187499999,0.0,0.17000000178813934,0.17000000178813934,0.3573279082775116,0.8791999816894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.27752685546875,2.3498988151550293,0.01747778430581093,0.0,1.9103304147720337,-0.005640105344355106,136.37802124023438,0.0,0.6623760461807251,0.0,0.9848032593727112,2.0,0.0,1.3718292713165283,0.0,0.45952245593070984,2.69492244720459,0.0,0.0,0.0,0.0,0.0,0.0,0.07261691242456436,0.3944992125034332,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
600,136.44564175605774,600,1.0258658877510114,0.95,0.0,0.5021502699218748,0.0,0.2800000011920929,0.17999999225139618,0.5028735399246216,0.8813999891281128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.3097915649414,2.2206077575683594,0.01706431247293949,0.0,1.6617776155471802,-0.005669855047017336,120.15495300292969,0.0,0.5034978985786438,0.0,0.9411706924438477,2.0,0.0,1.3822379112243652,0.0,0.4604358673095703,2.5619399547576904,0.0,0.0,0.0,0.0,0.0,0.0,0.07234145700931549,0.3910084366798401,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
800,177.36841654777527,800,1.0258658877510114,0.95,0.0,0.48244061860449206,0.0,0.2800000011920929,0.28999999165534973,0.5168984532356262,0.8828999996185303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.32157897949219,2.1793088912963867,0.017885947600007057,0.0,1.51646888256073,-0.005581235513091087,111.02357482910156,0.0,0.3846234679222107,0.0,0.9347102046012878,2.0,0.0,1.5310150384902954,0.0,0.5045034885406494,2.555384397506714,0.0,0.0,0.0,0.0,0.0,0.0,0.0764440968632698,0.41473817825317383,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
1000,217.7796506881714,1000,1.0258658877510114,0.95,0.0,0.4646526582905541,0.0,0.22999998927116394,0.23999999463558197,0.47320008277893066,0.885699987411499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.21139526367188,2.1222965717315674,0.01826523058116436,0.0,1.3989462852478027,-0.0056340862065553665,104.79171752929688,0.0,0.41793516278266907,0.0,0.9113729596138,2.0,0.0,1.5331536531448364,0.0,0.49589720368385315,2.4692790508270264,0.0,0.0,0.0,0.0,0.0,0.0,0.0751284584403038,0.3976062834262848,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
1200,263.19958329200745,1200,1.0258658877510114,0.95,0.0,0.4485990241072251,0.0,0.19999998807907104,0.25999999046325684,0.43230727314949036,0.8852999806404114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.16795349121094,2.1260745525360107,0.019731847569346428,0.0,1.3665828704833984,-0.005651081446558237,104.71674346923828,0.0,0.7370757460594177,0.0,0.9098320603370667,2.0,0.0,1.5078052282333374,0.0,0.4939914345741272,2.480731248855591,0.0,0.0,0.0,0.0,0.0,0.0,0.07562407851219177,0.4060872793197632,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
1400,304.37321376800537,1400,1.0258658877510114,0.95,0.0,0.4341106192567706,0.0,0.23999999463558197,0.23999999463558197,0.4564734697341919,0.8847000002861023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.11231994628906,2.11883282661438,0.01994122378528118,0.0,1.2998441457748413,-0.0056163109838962555,98.59950256347656,0.0,0.5064652562141418,0.0,0.9085502028465271,2.0,0.0,1.6599210500717163,0.0,0.5318904519081116,2.4838554859161377,0.0,0.0,0.0,0.0,0.0,0.0,0.08109229803085327,0.4286668300628662,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
1600,355.7132406234741,1600,1.0258658877510114,0.95,0.0,0.4210348338792354,0.0,0.26999998092651367,0.22999998927116394,0.5290015339851379,0.8736000061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.27152252197266,2.1085057258605957,0.020579464733600616,0.0,1.205295443534851,-0.005485208705067635,90.66400909423828,0.0,0.46555909514427185,0.0,0.9066489934921265,2.0,0.0,1.7508316040039062,0.0,0.5535016059875488,2.482753038406372,0.0,0.0,0.0,0.0,0.0,0.0,0.08136194944381714,0.4277823865413666,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
1800,398.44589400291443,1800,1.0258658877510114,0.95,0.0,0.40923393757600995,0.0,0.20999999344348907,0.22999998927116394,0.4427231252193451,0.8841999769210815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.23876953125,2.08575701713562,0.02105535753071308,0.0,1.1904391050338745,-0.005509898532181978,88.61414337158203,0.0,0.3228471875190735,0.0,0.893079400062561,2.0,0.0,1.6923154592514038,0.0,0.5384544730186462,2.433098793029785,0.0,0.0,0.0,0.0,0.0,0.0,0.08019735664129257,0.42077505588531494,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
2000,438.9851794242859,2000,1.0258658877510114,0.95,0.0,0.398583628662349,0.0,0.20999999344348907,0.23999999463558197,0.44507861137390137,0.8902999758720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.73275756835938,2.007648468017578,0.021779019385576248,0.0,1.0108166933059692,-0.0054663317278027534,78.93051147460938,0.0,0.4341329038143158,0.0,0.8781934380531311,2.0,0.0,1.8827589750289917,0.0,0.5854123830795288,2.389683723449707,0.0,0.0,0.0,0.0,0.0,0.0,0.08602286875247955,0.4464171230792999,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
2200,479.38477778434753,2200,1.0258658877510114,0.95,0.0,0.38897172486777,0.0,0.25,0.23999999463558197,0.4438534677028656,0.8886999487876892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.1167984008789,1.932875156402588,0.021533070132136345,0.0,0.9665772914886475,-0.005491737276315689,77.2621078491211,0.0,0.42027997970581055,0.0,0.8498519659042358,2.0,0.0,1.8273781538009644,0.0,0.5708140730857849,2.301332712173462,0.0,0.0,0.0,0.0,0.0,0.0,0.08159017562866211,0.4256369471549988,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
2400,522.7150390148163,2400,1.0258658877510114,0.95,0.0,0.3802969816931624,0.0,0.2199999988079071,0.22999998927116394,0.4863379895687103,0.8637999892234802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.67830657958984,1.9346678256988525,0.02185797691345215,0.0,0.9754352569580078,-0.005522934719920158,78.83460998535156,0.0,0.44531309604644775,0.0,0.8481462001800537,2.0,0.0,1.8697291612625122,0.0,0.5778613686561584,2.307089328765869,0.0,0.0,0.0,0.0,0.0,0.0,0.08361013233661652,0.4312291145324707,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
2600,563.7912373542786,2600,1.0258658877510114,0.95,0.0,0.3724680259780791,0.0,0.25999999046325684,0.22999998927116394,0.47281014919281006,0.8859999775886536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23126220703125,1.98247492313385,0.021577026695013046,0.0,0.9621244072914124,-0.005484286230057478,76.38069152832031,0.0,0.3816494047641754,0.0,0.8618324995040894,2.0,0.0,1.9456061124801636,0.0,0.5971509218215942,2.3556387424468994,0.0,0.0,0.0,0.0,0.0,0.0,0.08766760677099228,0.4497099220752716,-0.03980892896652222,-0.002442401833832264,-0.01699718087911606
