iteration,update_step,env_steps,wallclock_s,steps_per_s,iters_per_s,n_active_transitions,mean_episode_return,train_reach,train_collision,train_oob,train_stuck,train_timeout,pg_loss,vf_loss,entropy,approx_kl,clip_frac,explained_variance,log_std_mean,grad_norm_pi,grad_norm_vf,diag_h_mean,diag_h_min,diag_cos_theta_mean,diag_att_cost_mean,diag_frac_in_goal_ball,diag_goal_bonus_per_ep,diag_goal_d_per_ep,diag_goal_v_per_ep,diag_goal_om_per_ep,diag_shaping_accum_per_ep,diag_easy_frac,diag_closest_dist_med,diag_omega_rp_closest,diag_omega_yaw_closest,diag_d1_mean,diag_d2_mean,n_born_terminal,cuda_max_mem_mb,figures
1,20,76342,1.4690029621124268,51968.65730131742,0.6807348157150379,76342,-99.74920654296875,0.0029296875,0.98828125,0.0087890625,0.0,0.0,-0.005848173500271514,1048.5399200439454,3.677366352081299,0.004119581589475274,0.041969140991568565,-0.0009909868240356445,-0.49934810400009155,0.26761292591691016,7.4067567871883515,-0.9086651802062988,-1.0,0.06532488018274307,0.0026154101360589266,0.02982630766928196,0.4489824175834656,0.27331283688545227,0.14291806519031525,0.032751571387052536,-0.6893170475959778,0.5,0.7908287048339844,2.783979892730713,0.2801337242126465,0.30856451392173767,0.2600172758102417,6,421.48608,
2,40,151008,2.5823028087615967,67086.0210058922,0.8984815177710362,74666,-99.46833801269531,0.0029296875,0.9853515625,0.01171875,0.0,0.0,-0.0033528582018334417,1042.2685516357421,3.678702878952026,0.0031749353438499384,0.029108806792646647,0.0051146745681762695,-0.49924522638320923,0.2542673207819462,17.83512505982071,-0.9061141014099121,-1.0,0.08686430007219315,0.002515661995857954,0.029960090294480324,0.44181713461875916,0.2698590159416199,0.14127089083194733,0.030687227845191956,-0.6759737133979797,0.49976190476190474,0.8741304278373718,2.8300387859344482,0.2704630494117737,0.3087349832057953,0.2599356174468994,6,469.082624,
3,60,225427,3.6810498237609863,67749.03084581261,0.9103727656352896,74419,-99.73031616210938,0.0029296875,0.98779296875,0.00927734375,0.0,0.0,-0.003522924077697098,1011.4426910400391,3.6773403167724608,0.0031057588872499763,0.026684340462088584,0.011868894100189209,-0.4999597668647766,0.24365515559911727,25.534984616003932,-0.9122529625892639,-1.0,0.09731358289718628,0.0024690956342965364,0.03210201859474182,0.44951900839805603,0.27477243542671204,0.14120832085609436,0.03353819251060486,-0.7279880046844482,0.49952380952380954,0.8129116892814636,2.8684029579162598,0.2895057797431946,0.3082467317581177,0.25954529643058777,6,470.16704,
4,80,301938,4.796305418014526,68621.37375241551,0.8968824581094943,76511,-98.99202728271484,0.00244140625,0.98095703125,0.0166015625,0.0,0.0,-0.003653678426053375,952.1601470947265,3.673123025894165,0.0031655023631174117,0.027021051198244096,0.01750844717025757,-0.5016768574714661,0.25327836349606514,31.604572411254047,-0.916170597076416,-1.0,0.11877833306789398,0.002389373490586877,0.027094144374132156,0.4500781297683716,0.2728959918022156,0.1425429880619049,0.03463917598128319,-0.6457500457763672,0.4992857142857143,0.8054240345954895,2.700096845626831,0.26500505208969116,0.30744418501853943,0.25895944237709045,5,470.16704,
5,100,378840,5.721212148666382,83172.24492296616,1.0815355247323368,76902,-98.77639770507812,0.00390625,0.9765625,0.01953125,0.0,0.0,-0.0037779727557790467,921.6067535400391,3.6673723459243774,0.003207543198186613,0.029720549052581192,0.02766740322113037,-0.5024021863937378,0.24876031428575515,48.71614387631416,-0.9064351320266724,-1.0,0.13313990831375122,0.0023188400082290173,0.02748953364789486,0.44798198342323303,0.27154427766799927,0.14026863873004913,0.03616901859641075,-0.6955329775810242,0.4990476190476191,0.806111216545105,2.7342987060546875,0.29015523195266724,0.3084894120693207,0.2601008713245392,8,470.16704,
6,120,455351,6.584222316741943,88678.48013600058,1.1590291609833956,76511,-99.1830062866211,0.00390625,0.9814453125,0.0146484375,0.0,0.0,-0.0033548600389622153,911.8987274169922,3.6648351669311525,0.003200230572656437,0.028198386263102292,0.03553539514541626,-0.5032724142074585,0.24337296113371848,61.05013381242752,-0.9064610004425049,-1.0,0.15150485932826996,0.002238856628537178,0.029381396248936653,0.4485801160335541,0.2711993455886841,0.14195306599140167,0.035427726805210114,-0.6661394238471985,0.4988095238095238,1.0235117673873901,2.750741481781006,0.26599717140197754,0.3075948655605316,0.2593393921852112,8,470.16704,
7,140,535449,7.4839537143707275,89048.95846374378,1.1117500869402954,80098,-98.78158569335938,0.00390625,0.9765625,0.01953125,0.0,0.0,-0.0030992841377155854,851.41279296875,3.6596288323402404,0.003244204513612203,0.02929523540660739,0.04513359069824219,-0.5048971176147461,0.2843250438570976,63.79232337288558,-0.9184249639511108,-1.0,0.17386607825756073,0.0021518904250115156,0.027204176411032677,0.4527944326400757,0.2733399271965027,0.14241923391819,0.03703530505299568,-0.6998525857925415,0.49857142857142855,0.8444729447364807,2.6711487770080566,0.2900685966014862,0.30858778953552246,0.2604953944683075,8,470.385664,
8,160,615742,9.04951786994934,51293.957992273004,0.6388347426584261,80293,-98.25640869140625,0.0029296875,0.9716796875,0.025390625,0.0,0.0,-0.003602915845112875,826.8701782226562,3.6531888008117677,0.0030681258325785167,0.02736359667032957,0.053686320781707764,-0.5066002607345581,0.2570718005299568,38.57155780047178,-0.9206784963607788,-1.0,0.1779596507549286,0.0021333342883735895,0.02944216877222061,0.46260765194892883,0.2791953682899475,0.1435963660478592,0.03981592133641243,-0.7120310664176941,0.49833333333333335,0.859530508518219,2.7669730186462402,0.301603764295578,0.3079891800880432,0.2600063681602478,6,470.385664,
9,184,698499,10.329759120941162,64660.88118730359,0.7813342821429436,82757,-96.51599884033203,0.001953125,0.95361328125,0.04443359375,0.0,0.0,-0.0023404346381236487,779.3116734822592,3.644020915031433,0.004150671392077736,0.043779966266204916,0.05502283573150635,-0.5093306303024292,0.4287469827880462,32.01676205545664,-0.9188905954360962,-1.0,0.21194370090961456,0.0020004301331937313,0.027683459222316742,0.4626637399196625,0.27705487608909607,0.1460219770669937,0.039586860686540604,-0.6831568479537964,0.4980952380952381,0.837710976600647,2.7552754878997803,0.28529947996139526,0.30822306871414185,0.26027414202690125,4,470.385664,
10,204,780398,11.555021286010742,66855.75920900978,0.8163196035239718,81899,-96.35614013671875,0.0029296875,0.95068359375,0.04638671875,0.0,0.0,-0.0029786993152811194,769.8150665283204,3.6360253572463987,0.004011939422343858,0.041479685250669716,0.05874216556549072,-0.5104895234107971,0.32516343221068383,60.49660403430462,-0.9185580015182495,-1.0,0.21812216937541962,0.0019690406043082476,0.028571777045726776,0.46206915378570557,0.2779386043548584,0.1432543843984604,0.04087618365883827,-0.7070748805999756,0.49785714285714283,0.8442265391349792,2.7429563999176025,0.29750388860702515,0.3077815771102905,0.2599537670612335,6,471.005184,
